RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           91     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   94  109     0     0  con    0  1.0D+00  5.3D-02  8.375D-03  7.636D-01
   95  110     0     0  con    0  1.0D+00  6.8D-02  4.454D-03  7.633D-01
   96  111     0     0  con    0  1.0D+00  1.5D-01  5.959D-03  7.629D-01
   97  112     0     0  con    0  1.0D+00  3.0D-01  2.190D-02  7.625D-01
   98  113     0     0  con    0  1.0D+00  9.0D-02  7.386D-02  7.622D-01
   99  114     0     0  con    0  1.0D+00  4.8D-02  1.312D-02  7.618D-01
  100  115     0     0  con    0  1.0D+00  2.4D-02  1.197D-02  7.616D-01
  101  116     0     0  con    0  1.0D+00  9.2D-02  4.012D-02  7.614D-01
  102  117     0     0  con    0  1.0D+00  9.3D-02  7.331D-02  7.611D-01
  103  118     0     0  con    0  1.0D+00  1.2D-01  4.686D-02  7.604D-01
  104  119     0     0  con    0  1.0D+00  1.8D-01  8.332D-02  7.596D-01
  105  120     0     0  con    0  1.0D+00  2.4D-01  4.478D-02  7.594D-01
  106  121     0     0  con    0  1.0D+00  2.0D-01  3.926D-02  7.588D-01
  107  122     0     0  con    0  1.0D+00  1.1D-01  1.604D-02  7.579D-01
  108  123     0     0  con    0  1.0D+00  5.9D-02  1.084D-02  7.576D-01
  109  124     0     0  con    0  1.0D+00  1.5D-01  2.495D-02  7.568D-01
  110  126     0     0  con    1  2.9D-01  3.7D-02  4.175D-02  7.565D-01
  111  127     0     0  con    0  1.0D+00  7.3D-02  1.947D-02  7.557D-01
  112  128     0     0  con    0  1.0D+00  1.1D-01  1.070D-02  7.551D-01
  113  129     0     0  con    0  1.0D+00  5.3D-02  3.730D-02  7.547D-01
  114  130     0     0  con    0  1.0D+00  4.9D-02  3.298D-02  7.544D-01
  115  131     0     0  con    0  1.0D+00  4.2D-02  1.036D-02  7.543D-01
  116  132     0     0  con    0  1.0D+00  6.5D-03  1.195D-02  7.542D-01
  117  133     0     0  con    0  1.0D+00  2.9D-02  2.510D-02  7.540D-01
  118  134     0     0  con    0  1.0D+00  5.1D-02  2.657D-02  7.537D-01
  119  135     0     0  con    0  1.0D+00  1.4D-01  3.325D-02  7.530D-01
  120  136     0     0  con    0  1.0D+00  1.3D-01  3.922D-02  7.527D-01
  121  137     0     0  con    0  1.0D+00  3.7D-02  2.046D-02  7.521D-01
  122  138     0     0  con    0  1.0D+00  4.4D-02  2.197D-02  7.519D-01
  123  140     0     0  con    1  3.8D-01  1.7D-02  2.537D-02  7.517D-01
  124  141     0     0  con    0  1.0D+00  8.5D-03  1.543D-02  7.517D-01
  125  142     0     0  con    0  1.0D+00  5.4D-02  1.177D-02  7.514D-01
  126  143     0     0  con    0  1.0D+00  4.9D-02  1.115D-02  7.512D-01
  127  145     0     0  con    1  5.0D-01  8.4D-02  4.001D-02  7.510D-01
  128  146     0     0  con    0  1.0D+00  8.8D-02  2.302D-02  7.506D-01
  129  147     0     0  con    0  1.0D+00  5.9D-02  2.138D-02  7.504D-01
  130  148     0     0  con    0  1.0D+00  6.5D-02  1.455D-02  7.501D-01
  131  149     0     0  con    0  1.0D+00  2.6D-02  1.502D-02  7.499D-01
  132  150     0     0  con    0  1.0D+00  7.9D-02  8.431D-03  7.494D-01
  133  151     0     0  con    0  1.0D+00  1.7D-01  1.401D-02  7.487D-01
  134  152     0     0  con    0  1.0D+00  2.4D-01  5.705D-02  7.485D-01
  135  153     0     0  con    0  1.0D+00  1.3D-01  5.450D-02  7.481D-01
  136  154     0     0  con    0  1.0D+00  1.3D-01  2.115D-02  7.479D-01
  137  155     0     0  con    0  1.0D+00  7.2D-02  1.617D-02  7.477D-01
  138  156     0     0  con    0  1.0D+00  1.7D-01  3.670D-02  7.473D-01
  139  158     0     0  con    1  3.2D-01  1.3D-01  6.268D-02  7.470D-01
  140  159     0     0  con    0  1.0D+00  9.1D-02  5.942D-02  7.465D-01
  141  160     0     0  con    0  1.0D+00  8.2D-02  9.668D-02  7.462D-01
  142  161     0     0  con    0  1.0D+00  7.9D-02  6.639D-02  7.457D-01
  143  162     0     0  con    0  1.0D+00  1.1D-01  1.736D-02  7.452D-01
